feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
P4_G3	Genotype	ccamk	-3.69705437665657	0.445662797635588	29	29	1.65043152767811e-08	3.89501840532035e-06
P4_G3	Genotype	nsp1	-2.55314259409454	0.445662797635588	29	29	6.66057962203551e-06	0.000785948395400191
P5_C1	Genotype	ccamk	-2.99504622138347	0.552334945771416	29	26	1.43155946822822e-05	0.0011261601150062
P4_B2	Genotype	ccamk	-1.63312071825022	0.31388658270803	29	29	2.48818360727662e-05	0.00146802832829321
P4_B2	Genotype	nsp1	-1.5457431231033	0.31388658270803	29	29	5.03360971686778e-05	0.00237586378636159
P4_G3	Genotype	symrk	-2.03469739719304	0.445662797635588	29	29	0.000125355860231734	0.00493066383578152
P1_A9	Genotype	ccamk	-2.5970286282004	0.58774708507954	29	27	0.000182177845251825	0.00614199592563296
P4_B2	Genotype	symrk	-1.33041299174768	0.31388658270803	29	29	0.000287933495374557	0.0079660364659398
P3_A2	Genotype	nsp2	2.61343342519244	0.622431215221103	29	24	0.000318513413413233	0.0079660364659398
P2_E10	Genotype	nsp1	-3.73682260797051	0.894859282833557	29	13	0.000337543918048296	0.0079660364659398
P4_G3	Genotype	nsp2	-1.80415978316619	0.445662797635588	29	29	0.000466379966247634	0.0100059701849492
P2_G8	Genotype	nsp2	-2.91219985904163	0.735050014991945	29	22	0.000580116725393107	0.0114089622660644
P3_C6	Genotype	ccamk	-2.24764517032352	0.591376704204927	29	17	0.000870512901449488	0.0158031572878522
P2_B1	Genotype	ccamk	-2.77959947728218	0.744920584733523	29	19	0.00103566422847411	0.0165837901474842
P2_E10	Genotype	nsp2	-3.33278826868344	0.894859282833557	29	13	0.00105405445852654	0.0165837901474842
P1_A8	Genotype	ccamk	-1.45602850616393	0.395438860252788	29	29	0.00117167406341582	0.0172821924353834
P5_C1	Genotype	nsp1	-1.98392464002661	0.552334945771417	29	26	0.00146690533845373	0.0203640976397107
P2_B1	Genotype	nsp2	-2.63398369977962	0.744920584733523	29	19	0.00168554620487826	0.0220993835750705
P2_E10	Genotype	symrk	-3.06310228602171	0.894859282833557	29	13	0.00222792063135531	0.0276731194210449
P2_A1	Genotype	ccamk	-1.46481899513282	0.434151303368695	29	28	0.00251314012605036	0.0296550534873943
P3_C6	Genotype	nsp1	-1.95914331939141	0.591376704204927	29	17	0.00291886048839595	0.0328024321553068
P1_A8	Genotype	nsp1	-1.29968082675111	0.395438860252788	29	29	0.00311136521709517	0.0328806881544291
P2_C2.P4_E2	Genotype	nsp1	2.39679116665498	0.731938744475709	29	19	0.00320447384555877	0.0328806881544291
P1_A9	Genotype	nsp1	-1.90664942948942	0.58774708507954	29	27	0.00345196980575408	0.0339443697565818
P1_D3	Genotype	ccamk	-1.60910638966636	0.51013365246443	29	29	0.00428923480711027	0.0369825862687285
P4_B10	Genotype	nsp1	-1.3010030522127	0.409573030528535	29	29	0.00406542745395928	0.0369825862687285
P2_A1	Genotype	symrk	-1.36911799565258	0.434151303368695	29	28	0.00429682870121953	0.0369825862687285
P5_C5	Genotype	nsp2	2.28860598523449	0.727728727457915	29	25	0.004387764472561	0.0369825862687285
P2_C12	Genotype	ccamk	-1.50443627010227	0.490615023983251	29	29	0.00529683443215327	0.0403161516243973
P1_E8	Genotype	nsp1	-0.88245330808209	0.287929024726609	29	29	0.00531714181745948	0.0403161516243973
P4_B10	Genotype	nsp2	-1.25052115786409	0.409573030528535	29	29	0.00546659683042676	0.0403161516243973
P2_E3	Genotype	nsp2	1.09201513762935	0.356415541391131	29	7	0.00532920110233086	0.0403161516243973
P2_A1	Genotype	nsp1	-1.3198294795333	0.434151303368695	29	28	0.00564172093046164	0.0403468527148166
P1_E8	Genotype	ccamk	-0.867156429181286	0.287929024726609	29	29	0.00603547006681412	0.0418178205806118
P2_B12	Genotype	nsp2	0.993579258823951	0.331163570985431	29	29	0.00620179542509074	0.0418178205806118
P2_H11	Genotype	nsp2	-0.779583396057171	0.263363420140366	29	29	0.00682140675299896	0.0445133483986052
