"Order","P_Value","NPK_Letters","PK_Letters","UF_Letters"
"Acidobacteriales",0.0309731791404388,"ab","a","b"
"Bacillales",0.0012872217693064,"b","a","a"
"Burkholderiales",0.3632116326024,"a","a","a"
"Chloroflexales",0.0536781319079215,"a","a","a"
"Corynebacteriales",0.0670595686401653,"a","a","a"
"Frankiales",0.0698914590709766,"a","a","a"
"Gaiellales",0.00401304534347813,"b","a","a"
"Gemmatimonadales",0.225856837667595,"a","a","a"
"MB-A2-108",0.105788484827013,"a","a","a"
"Micrococcales",0.0251253886366308,"b","ab","a"
"Nitrospirales",0.000147291867648639,"c","a","b"
"Pedosphaerales",0.00115233394844267,"b","a","a"
"Propionibacteriales",0.0237397017642537,"a","a","b"
"Pseudomonadales",0.0003269339151308,"a","a","b"
"Pseudonocardiales",0.167895266885524,"a","a","a"
"Rhizobiales",0.00172429599681846,"a","a","b"
"S085",0.0433513237870088,"b","ab","a"
"Solibacterales",0.0594789572434926,"a","a","a"
"Solirubrobacterales",0.161053166774697,"a","a","a"
"Sphingomonadales",0.0234439453196387,"b","a","ab"
"Subgroup_5",0.00156183190495744,"c","a","b"
"Subgroup_7",0.000188788760040334,"b","a","a"
"TK10",0.0718876743956883,"a","a","a"
"Xanthomonadales",0.000250185044236769,"b","a","a"
