feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
LjRoot58	Genotype	symrk	-1.31051132185482	0.118717298197988	20	4	1.34101832240988e-08	9.92353558583322e-07
LjRoot58	Genotype	ccamk	-1.31051132185482	0.118717298197988	20	4	1.34101832240989e-08	9.92353558583322e-07
LjRoot58	Genotype	nsp1	-1.31051132185482	0.118717298197988	20	4	1.34101832240989e-08	9.92353558583322e-07
LjRoot58	Genotype	nsp2	-1.31051132185482	0.118717298197988	20	4	1.34101832240989e-08	9.92353558583322e-07
LjRoot237	Genotype	ccamk	1.41962486403347	0.164331989287729	20	20	3.30197504095634e-07	1.95476922424616e-05
G8_LjRoot126	Genotype	symrk	-1.1807091047579	0.142653320399391	20	20	5.65008528978803e-07	2.78737540962876e-05
G3_LjRoot129	Genotype	symrk	1.52360969795209	0.1944811802847	20	20	1.11334318352279e-06	4.11936977903434e-05
G3_LjRoot129	Genotype	ccamk	1.53674162261306	0.1944811802847	20	20	1.0023050724845e-06	4.11936977903434e-05
G8_LjRoot126	Genotype	ccamk	-1.03602680538003	0.142653320399391	20	20	2.7740688092778e-06	9.12360408384697e-05
G7_LjRoot117	Genotype	nsp1	1.90483812559691	0.265098324706581	20	20	3.14806638458897e-06	9.31827649838335e-05
G3_LjRoot129	Genotype	nsp2	1.38545814394865	0.1944811802847	20	20	3.48418832885817e-06	9.3756340485638e-05
G2_LjRoot102	Genotype	ccamk	1.12495381056607	0.170329416211224	20	20	8.37014121704609e-06	0.000187031565173652
G2_LjRoot102	Genotype	nsp2	1.11949390750369	0.170329416211224	20	20	8.84608754199708e-06	0.000187031565173652
LjRoot237	Genotype	nsp1	1.09364628301683	0.164331989287729	20	20	7.6735937930335e-06	0.000187031565173652
LjRoot89	Genotype	nsp1	-2.26056079671682	0.347719208348688	20	19	1.00110614579921e-05	0.000197551612771045
G21_LjRoot111	Genotype	ccamk	-0.986585209800946	0.163699281093624	20	20	2.3177495972485e-05	0.000428783675490972
LjRoot237	Genotype	nsp2	0.979076307536424	0.164331989287729	20	20	2.6251042343112e-05	0.000457076972562421
G20_LjRoot162	Genotype	ccamk	-1.3463868451621	0.253141931921891	20	20	8.59418779137647e-05	0.00141326643680413
G3_LjRoot129	Genotype	nsp1	1.009407978603	0.1944811802847	20	20	0.000109780663888497	0.00171026718478922
G2_LjRoot102	Genotype	nsp1	0.823087581045141	0.170329416211224	20	20	0.000219532159840005	0.00324907596563207
G8_LjRoot126	Genotype	nsp1	-0.684248020113241	0.142653320399391	20	20	0.000235461353951037	0.003318883846167
LjRoot82	Genotype	nsp2	-1.4019457736168	0.310850747479871	20	20	0.00041492312675613	0.00558260206908247
LjRoot221	Genotype	ccamk	0.712466409057846	0.159309670207804	20	20	0.000447420682602481	0.00575810965436236
G6_LjRoot130	Genotype	nsp2	1.03304555049065	0.237330013483169	20	20	0.000568231356811917	0.00700818673401365
LjRoot259	Genotype	ccamk	-1.5509028152193	0.370336820729229	20	20	0.000792163093300938	0.0093792110246831
G21_LjRoot111	Genotype	nsp1	-0.676531224693838	0.163699281093624	20	20	0.000885474123402002	0.00985633435672571
LjRoot122	Genotype	ccamk	1.6564437061874	0.401537647355378	20	20	0.000899057525782413	0.00985633435672571
G2_LjRoot102	Genotype	symrk	0.659810917247499	0.170329416211224	20	20	0.00149947317893692	0.0155022031694173
LjRoot3	Genotype	ccamk	0.772380050503487	0.200434735173971	20	20	0.00156263666397628	0.0155022031694173
LjRoot237	Genotype	symrk	0.632819045177923	0.164331989287729	20	20	0.00157116924014365	0.0155022031694173
G7_LjRoot117	Genotype	ccamk	0.989602350787441	0.265098324706581	20	20	0.00199947191735731	0.0190917318560569
G15_LjRoot29	Genotype	symrk	1.53585588225642	0.413291389255487	20	18	0.00206946660645387	0.0191425661096983
G5_LjRoot105	Genotype	ccamk	1.38937287228711	0.378682289307937	20	20	0.00227949658061768	0.0202672623908185
G15_LjRoot29	Genotype	ccamk	-1.51210642669089	0.413291389255487	20	18	0.00232799635570213	0.0202672623908185
LjRoot221	Genotype	symrk	0.570355440581947	0.159309670207804	20	20	0.00273465413449602	0.0224849339947451
G17_LjRoot232	Genotype	ccamk	-1.204195520994	0.335949565555968	20	20	0.00271072609835416	0.0224849339947451
LjRoot28	Genotype	ccamk	2.03743320136244	0.5720930904052	20	6	0.00284217975132416	0.0227374380105933
LjRoot248	Genotype	ccamk	-1.42463132188286	0.40262607989406	20	20	0.00297961214212959	0.0232096103702726
G32_LjRoot291	Genotype	nsp1	0.573262900642956	0.169802905489	20	20	0.00415714038662608	0.0315516296010594
LjRoot228	Genotype	nsp1	-2.84961892610511	0.8481512900378	20	11	0.00429805668036475	0.0318056194346991
G32_LjRoot291	Genotype	nsp2	0.554496311078675	0.169802905489	20	20	0.00521468608852023	0.0376474898098046
G21_LjRoot111	Genotype	symrk	-0.529038997963413	0.163699281093624	20	20	0.00558813372733931	0.0393830376974389
G35_LjRoot145	Genotype	ccamk	1.5541925009463	0.486494928041433	20	13	0.00602923747952587	0.0415035882311548
LjRoot228	Genotype	ccamk	-2.69436111845011	0.8481512900378	20	11	0.00625458591125899	0.0420763052211968
G7_LjRoot117	Genotype	symrk	0.827092559096799	0.265098324706581	20	20	0.00702501444280693	0.0462089838904634
G11_LjRoot25	Genotype	ccamk	-1.28241568199798	0.415200346173981	20	20	0.00748856720573355	0.0481873020195028
LjRoot89	Genotype	ccamk	1.0681489985198	0.347719208348688	20	19	0.00774978285274024	0.0488071430725768
LjRoot240	Genotype	ccamk	-1.24400549878137	0.409288784055046	20	18	0.00828000226738975	0.0490176134229473
LjRoot277	Genotype	ccamk	-0.995351279168453	0.326596176120001	20	20	0.00814237844615823	0.0490176134229473
LjRoot247	Genotype	ccamk	-1.35299975711799	0.444797852784198	20	16	0.0082396062281918	0.0490176134229473
LjRoot228	Genotype	nsp2	-2.56107830930686	0.8481512900378	20	11	0.00862155591639909	0.0500388343383163
G37_LjNodule209	Genotype	ccamk	-2.66715187209649	0.897395187838408	20	16	0.00949688098881642	0.0540591687055704
G1_LjRoot134	Genotype	ccamk	-0.676960513206093	0.236129167981975	20	20	0.0117572132816574	0.0656629270069924
G16_LjRoot125	Genotype	ccamk	0.828307235181658	0.293511002663823	20	20	0.0128733080010064	0.070564799412924
G20_LjRoot162	Genotype	nsp1	-0.710157682120138	0.253141931921891	20	20	0.0133145676972701	0.0716565825162172
LjRoot223	Genotype	ccamk	-2.51355621347353	0.899449880816616	20	20	0.0136085655252977	0.0718030071248368
G35_LjRoot145	Genotype	nsp2	1.35569312741873	0.486494928041433	20	13	0.0138269304260665	0.0718030071248368
G17_LjRoot232	Genotype	symrk	-0.923682451864243	0.335949565555968	20	20	0.0149021633946609	0.0757554509750031
LjRoot248	Genotype	nsp1	-1.10436842601611	0.40262607989406	20	20	0.015099904079477	0.0757554509750031
G37_LjNodule209	Genotype	nsp2	-2.3807425383457	0.897395187838408	20	16	0.0180845151590038	0.0878149524308024
